learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),F1 Score for class 2 (percent),F1 Score for class 3 (percent),F1 Score for class 4 (percent),F1 Score for class 5 (percent),F1 Score for class 6 (percent),Precision (percent),Precision for class 0 (percent),Precision for class 1 (percent),Precision for class 2 (percent),Precision for class 3 (percent),Precision for class 4 (percent),Precision for class 5 (percent),Precision for class 6 (percent),Recall (percent),Recall for class 0 (percent),Recall for class 1 (percent),Recall for class 2 (percent),Recall for class 3 (percent),Recall for class 4 (percent),Recall for class 5 (percent),Recall for class 6 (percent),model training instances,model serialized size (bytes),Change detected,Warning detected
100.0,0.043591,4.68673070685731E-10,100.0,67.0,44.677284157585916,8.333333333333341,31.250000000000007,?,37.03703703703703,60.0,?,?,79.6116504854369,?,?,?,31.25,67.74193548387096,?,?,77.35849056603774,?,?,?,45.45454545454545,53.84615384615385,?,?,82.0,?,?,100.0,14480.0,0.0,0.0
200.0,0.105802,1.1380559744106397E-9,200.0,67.0,48.68804664723033,19.512195121951233,26.666666666666668,?,57.99999999999999,67.72486772486772,?,?,73.87387387387388,?,?,?,50.877192982456144,78.04878048780488,?,?,67.21311475409836,?,?,?,67.44186046511628,59.813084112149525,?,?,82.0,?,?,200.0,14512.0,0.0,0.0
300.0,0.131217,1.4116761253939731E-9,300.0,69.0,50.42291563010875,27.90697674418604,25.59999999999998,?,63.49206349206349,70.66666666666667,?,?,73.87387387387388,?,?,?,54.054054054054056,82.8125,?,?,67.21311475409836,?,?,?,76.92307692307693,61.627906976744185,?,?,82.0,?,?,300.0,14536.0,0.0,0.0
400.0,0.165786,1.7839205989407166E-9,400.0,69.75,49.68501153918125,26.666666666666668,28.823529411764714,?,62.295081967213115,72.64150943396226,?,?,74.24242424242425,?,?,?,56.71641791044776,78.1725888324873,?,?,71.01449275362319,?,?,?,69.0909090909091,67.84140969162996,?,?,77.77777777777779,?,?,400.0,14544.0,0.0,0.0
500.0,0.182811,1.967283733603027E-9,500.0,71.0,51.551682660180155,30.62200956937799,32.558139534883715,?,61.90476190476192,73.88059701492537,?,?,77.6470588235294,?,?,?,58.333333333333336,77.95275590551181,?,?,73.33333333333333,?,?,?,65.94202898550725,70.2127659574468,?,?,82.5,?,?,500.0,14552.0,0.0,0.0
600.0,0.197281,2.1231588824755612E-9,600.0,69.83333333333334,47.72638662257585,23.628691983122373,21.982758620689673,?,59.45945945945946,74.26900584795322,?,?,72.1311475409836,?,?,?,54.69613259668509,79.62382445141067,?,?,66.0,?,?,?,65.13157894736842,69.58904109589041,?,?,79.51807228915662,?,?,600.0,14560.0,0.0,0.0
700.0,0.212545,2.2876504167086544E-9,700.0,70.28571428571428,50.24654613300164,26.76056338028168,27.27272727272727,?,60.162601626016254,73.53324641460235,?,?,75.00000000000001,?,?,?,54.679802955665025,79.21348314606742,?,?,70.2127659574468,?,?,?,66.86746987951807,68.61313868613139,?,?,80.48780487804879,?,?,700.0,14576.0,0.0,0.0
800.0,0.226226,2.4351111654606126E-9,800.0,70.375,49.13549114029322,25.70532915360502,23.79421221864952,?,59.25925925925925,74.64324917672887,?,?,72.53521126760563,?,?,?,54.54545454545454,80.0,?,?,66.45161290322581,?,?,?,64.86486486486487,69.95884773662551,?,?,79.84496124031007,?,?,800.0,14584.0,0.0,0.0
900.0,0.238914,2.571868857161866E-9,900.0,67.88888888888889,43.970893299125635,20.385674931129472,17.897727272727263,?,56.49202733485193,73.4225621414914,?,?,65.3968253968254,?,?,?,53.21888412017167,76.64670658682635,?,?,62.048192771084345,?,?,?,60.19417475728155,70.45871559633028,?,?,69.12751677852349,?,?,900.0,14584.0,0.0,0.0
1000.0,0.255698,2.7521500591602588E-9,1000.0,65.0,40.07629144152473,15.0485436893204,15.0485436893204,?,53.03643724696355,71.31509267431596,?,?,61.66219839142092,?,?,?,48.88059701492538,73.72262773722628,?,?,62.5,?,?,?,57.9646017699115,69.05982905982906,?,?,60.84656084656085,?,?,40.0,14440.0,1.0,0.0
