learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),Precision (percent),Recall (percent),model training instances,model serialized size (bytes),Change detected,Warning detected
100.0,0.002814,6.021882096926371E-12,100.0,77.0,53.59160613397902,51.06382978723404,52.083333333333336,77.2511864870827,77.91088692728036,76.6025641025641,100.0,3224.0,0.0,0.0
200.0,0.007802,1.6696064008606805E-11,200.0,71.0,41.93612974271698,41.41414141414141,38.29787234042552,71.074088937993,71.20153861726895,70.94709470947095,200.0,3224.0,0.0,0.0
300.0,0.011994,2.5666827956835432E-11,300.0,69.0,38.3289124668435,35.41666666666665,32.116788321167874,69.39138244499942,69.46127946127946,69.32162595828133,300.0,3224.0,0.0,0.0
400.0,0.015969,3.4173217912515006E-11,400.0,69.0,37.979843449120956,32.24043715846994,34.04255319148935,69.02423740746133,69.06429665336044,68.98422460561514,400.0,3224.0,0.0,0.0
500.0,0.019395,4.150476306676865E-11,500.0,70.8,41.5785008883269,37.8723404255319,38.13559322033897,70.8703541350613,70.95899695018637,70.78193251092017,500.0,3224.0,0.0,0.0
600.0,0.022794,4.877852896849315E-11,600.0,73.16666666666667,46.3809946714032,42.70462633451959,42.08633093525181,73.24742910741044,73.27732216081297,73.21756043345373,600.0,3224.0,0.0,0.0
700.0,0.026365,5.642037010855146E-11,700.0,74.71428571428571,49.45332898172323,46.52567975830815,46.200607902735555,74.76314642393818,74.78429768963402,74.74200711929721,700.0,3224.0,0.0,0.0
800.0,0.031067,6.648251993788615E-11,800.0,76.5,53.02906326710348,50.132625994694955,49.46236559139785,76.54769600422107,76.54437559014251,76.5510167063842,800.0,3224.0,0.0,0.0
900.0,0.032602,6.97673774427838E-11,900.0,77.22222222222223,54.45524023935068,52.10280373831776,52.32558139534884,77.2519121370056,77.26854690374003,77.23528453116435,900.0,3224.0,0.0,0.0
1000.0,0.034068,7.290457685788475E-11,1000.0,76.9,53.800000000000004,50.955414012738856,51.67364016736402,76.91556304422991,76.93113238904172,76.9,1000.0,3224.0,0.0,0.0
1100.0,0.035401,7.575715995497176E-11,1100.0,76.0,51.998254481981164,49.32821497120921,49.714285714285715,76.00342615742507,76.00858525228273,75.99826776286864,1100.0,3224.0,0.0,0.0
1200.0,0.036775,7.869748191701043E-11,1200.0,75.33333333333333,50.655015767611786,47.51773049645389,48.16112084063047,75.33257785796663,75.3418716692011,75.32328633932912,1200.0,3224.0,0.0,0.0
1300.0,0.03816,8.166134357452394E-11,1300.0,73.53846153846155,47.050981190784604,43.513957307060764,44.24635332252838,73.53095584176477,73.54344255884882,73.51847336412425,1300.0,3224.0,0.0,0.0
1400.0,0.039549,8.463376512130103E-11,1400.0,72.78571428571429,45.55431707107949,42.70676691729323,43.04932735426009,72.78239391796927,72.79251342142035,72.77227722772277,72.0,3224.0,1.0,0.0
1500.0,0.04082,8.735366993480259E-11,1500.0,73.13333333333333,46.2475546861106,43.636363636363626,43.87186629526462,73.129725162129,73.1412680756396,73.11818589137253,172.0,3224.0,0.0,0.0
