learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score (percent),Precision (percent),Recall (percent),model training instances,model serialized size (bytes),Change detected,Warning detected
100.0,0.044942,1.3970435493522223E-10,100.0,55.00000000000001,10.21548284118117,-9.75609756097559,-12.499999999999984,55.133351381122644,55.1384985949418,55.12820512820513,100.0,3224.0,0.0,0.0
200.0,0.062656,1.9553905145989526E-10,200.0,53.5,6.832298136645967,-6.89655172413791,-6.89655172413791,53.41769565861133,53.42232035327178,53.413071764588125,200.0,3224.0,0.0,0.0
300.0,0.070874,2.2144226564301386E-10,300.0,51.66666666666667,3.1784188034188094,-8.208955223880587,-5.839416058394149,51.59209371935801,51.59688674181429,51.58730158730158,300.0,3224.0,0.0,0.0
400.0,0.078762,2.466481427351634E-10,400.0,53.5,6.946494234184664,-3.3333333333333366,1.5873015873016003,53.494544585544034,53.51777254186618,53.47133678341959,400.0,3224.0,0.0,0.0
500.0,0.086893,2.726305193371243E-10,500.0,52.0,4.2222044855934255,0.0,-6.666666666666673,52.13085023218955,52.14486125302065,52.11684673869548,500.0,3224.0,0.0,0.0
600.0,0.095038,2.986576325363583E-10,600.0,52.0,4.272292146782488,-0.3484320557491137,-5.8823529411764595,52.15530899828532,52.16687646106814,52.14374666429461,600.0,3224.0,0.0,0.0
700.0,0.101543,3.1972689140174124E-10,700.0,51.857142857142854,3.911952554744527,0.29585798816568404,-4.334365325077403,51.97086906128021,51.98095772416752,51.96078431372548,700.0,3224.0,0.0,0.0
800.0,0.105329,3.3198949156535996E-10,800.0,51.625,3.5285612793059946,1.2755102040816282,-4.878048780487797,51.7799053319833,51.789099825576976,51.77071410254004,800.0,3224.0,0.0,0.0
900.0,0.109365,3.450618249674638E-10,900.0,52.33333333333333,4.771065794536343,4.241071428571423,-1.1792452830188638,52.39648674620246,52.40440310046686,52.38857278330963,900.0,3224.0,0.0,0.0
1000.0,0.113232,3.575867787003517E-10,1000.0,51.7,3.4139083971908,0.6172839506172845,-0.835073068893529,51.711651153844954,51.716096242923314,51.70720682882731,1000.0,3224.0,0.0,0.0
1100.0,0.11685,3.693052381277084E-10,1100.0,52.36363636363637,4.619121847251609,1.318267419962355,-0.1912045889101234,52.31635602769872,52.32539928490265,52.307315895798,1100.0,3224.0,0.0,0.0
1200.0,0.120918,3.8248121738433834E-10,1200.0,52.416666666666664,4.676048813876215,2.725724020442925,-0.3514938488576531,52.34408804554007,52.353227811943405,52.33495146979957,1200.0,3224.0,0.0,0.0
1300.0,0.124887,3.9550904184579845E-10,1300.0,52.15384615384615,4.198172111550005,2.507836990595598,0.16051364365970586,52.10875334275268,52.120582468957885,52.09692958473291,1300.0,3224.0,0.0,0.0
1400.0,0.128259,4.065772766868273E-10,1400.0,51.92857142857142,3.715663832570305,1.8950437317784143,-0.2980625931445639,51.86752784534304,51.87965260545906,51.85540875124255,1400.0,3224.0,0.0,0.0
1500.0,0.132574,4.207408097055223E-10,1500.0,51.93333333333333,3.6745294614324076,1.6371077762619386,-0.2781641168289448,51.851068312756546,51.86815336463224,51.83399451259738,1500.0,3224.0,0.0,0.0
1600.0,0.136465,4.335126073824034E-10,1600.0,51.6875,3.146789623049299,1.2771392081736863,-0.7822685788787549,51.58674516124929,51.60339896320131,51.57010210508712,1600.0,3224.0,0.0,0.0
1700.0,0.141891,4.5132288088401155E-10,1700.0,52.411764705882355,4.502074804046287,2.530120481927729,0.2466091245376163,52.27003604537409,52.29551518447394,52.244581721801474,1700.0,3224.0,0.0,0.0
1800.0,0.145346,4.626635544829898E-10,1800.0,53.0,5.804631828978623,3.9727582292849117,2.5345622119815716,52.9324403325483,52.96811740890688,52.89681128496918,1800.0,3224.0,0.0,0.0
1900.0,0.148898,4.743226203653547E-10,1900.0,53.10526315789473,6.054801088563414,3.6756756756756603,3.0467899891186074,53.0541849294505,53.08561952208362,53.02278754270655,1900.0,3224.0,0.0,0.0
2000.0,0.152321,4.855582573347621E-10,2000.0,53.1,6.128188063868874,4.089979550102253,3.794871794871809,53.09845821841148,53.13514050405953,53.06182654566365,2000.0,3224.0,0.0,0.0
2100.0,0.155991,4.976046457886695E-10,2100.0,53.28571428571428,6.277296549716109,4.757281553398054,2.871287128712852,53.17298402460434,53.21610410872567,53.12993376281644,2100.0,3224.0,0.0,0.0
2200.0,0.159159,5.080032721161841E-10,2200.0,53.13636363636364,6.10713440067027,3.7348272642390303,3.5547240411599734,53.09721680654437,53.146036555199586,53.048486666848504,2200.0,3224.0,0.0,0.0
2300.0,0.162938,5.204074415895673E-10,2300.0,53.130434782608695,6.1723274591069615,4.432624113475174,4.0925266903914626,53.13538037553697,53.187527555509696,53.08333534977133,2300.0,3224.0,0.0,0.0
2400.0,0.166202,5.311211778057945E-10,2400.0,53.0,5.985049011266392,3.9182282793867125,4.000000000000012,53.04852969649273,53.105129223333925,52.99205068892409,2400.0,3224.0,0.0,0.0
2500.0,0.169716,5.426555126905439E-10,2500.0,52.92,5.766422422627586,3.603603603603594,3.286770747740348,52.93798245222738,52.9950817185242,52.881006096097536,2500.0,3224.0,0.0,0.0
2600.0,0.172893,5.532217584550379E-10,2600.0,53.07692307692308,5.999050507433236,4.313725490196085,3.251387787470259,53.0535704134807,53.11247110223858,52.994800219424,2600.0,3224.0,0.0,0.0
2700.0,0.17694,5.666814992825189E-10,2700.0,53.11111111111111,6.044622070250756,4.812030075187963,3.2849503437738674,53.07711673842637,53.137492688076925,53.01687783393907,2700.0,3224.0,0.0,0.0
2800.0,0.183547,5.886554324792489E-10,2800.0,52.89285714285714,5.704023179264492,4.420289855072466,3.440702781844804,52.91019626290058,52.9709385178341,52.84959315579266,2800.0,3224.0,0.0,0.0
2900.0,0.186824,5.995542638831666E-10,2900.0,52.55172413793103,5.0488937282395705,4.444444444444439,2.961918194640327,52.58014757475855,52.63740394253258,52.523015632937046,2900.0,3224.0,0.0,0.0
3000.0,0.190276,6.11035120156076E-10,3000.0,52.56666666666666,5.038202715075449,4.560697518443987,2.8668941979521985,52.57732025279841,52.63814834348717,52.516632584442945,3000.0,3224.0,0.0,0.0
3100.0,0.193352,6.212654544247519E-10,3100.0,52.70967741935484,5.3140475067379915,4.805194805194814,3.170409511228537,52.71864396891167,52.78330679405521,52.654139381860745,3100.0,3224.0,0.0,0.0
3200.0,0.196442,6.315423506829472E-10,3200.0,52.46875,4.860570852212528,3.855878634639693,2.8735632183908,52.48747461631928,52.5467282540788,52.42835446123462,3200.0,3224.0,0.0,0.0
3300.0,0.199511,6.417494039568634E-10,3300.0,52.515151515151516,4.9559434929807455,3.509852216748758,3.03217821782179,52.53607029421512,52.59621217227202,52.476065799217174,3300.0,3224.0,0.0,0.0
3400.0,0.202815,6.527380334834256E-10,3400.0,52.64705882352941,5.26959919037868,3.995229576624938,3.5928143712574947,52.70102218646115,52.76809336597186,52.63412129290145,3400.0,3224.0,0.0,0.0
3500.0,0.205959,6.631945259869097E-10,3500.0,52.77142857142857,5.483292327899704,4.39560439560439,3.446261682242978,52.80989607043218,52.88003723351675,52.739940734210066,3500.0,3224.0,0.0,0.0
3600.0,0.211075,6.80209607299831E-10,3600.0,52.75,5.416626507810583,3.9525691699604604,3.352272727272729,52.779121750976266,52.852480009995006,52.70596684949865,3600.0,3224.0,0.0,0.0
3700.0,0.215936,6.963765952322216E-10,3700.0,52.810810810810814,5.459971293501713,3.80165289256199,3.161397670549098,52.79860260678273,52.87193451765147,52.72547383283308,3700.0,3224.0,0.0,0.0
3800.0,0.220691,7.12191042386823E-10,3800.0,52.71052631578947,5.261966215845013,3.6461126005362,3.022126281705343,52.69848147729162,52.77045128562041,52.62670771044633,3800.0,3224.0,0.0,0.0
3900.0,0.225798,7.291761909921962E-10,3900.0,52.69230769230769,5.198128073106345,3.5546262415054946,2.8947368421052753,52.66353472942454,52.733104269999174,52.59414850990647,3900.0,3224.0,0.0,0.0
4000.0,0.230584,7.45093739695019E-10,4000.0,52.775000000000006,5.335585100252086,3.474706182933064,2.9789419619928235,52.73375429977734,52.805688112994886,52.66201620162016,4000.0,3224.0,0.0,0.0
4100.0,0.235407,7.611343450844286E-10,4100.0,53.024390243902445,5.759949589700261,3.940149625935166,3.1674208144796405,52.94742236931046,53.023378185371726,52.87168385488214,4100.0,3224.0,0.0,0.0
4200.0,0.240253,7.772514451709057E-10,4200.0,53.095238095238095,5.899019207108841,4.554263565891475,3.3366045142296388,53.01841479277714,53.0961217088463,52.94093499463276,4200.0,3224.0,0.0,0.0
4300.0,0.245078,7.932987022731037E-10,4300.0,53.162790697674424,6.087636213159228,4.730368968779573,3.7744863831820368,53.11862349586759,53.20101743562795,53.03648437317447,4300.0,3224.0,0.0,0.0
4400.0,0.24997,8.095687917537158E-10,4400.0,53.45454545454545,6.569246194059172,5.360443622920518,3.9399624765478336,53.36319565262288,53.45318968360739,53.27350414102743,4400.0,3224.0,0.0,0.0
4500.0,0.25466,8.251670582426917E-10,4500.0,53.6,6.856218953312135,5.563093622795113,4.220183486238541,53.50635778990524,53.59663856806327,53.41638064693445,4500.0,3224.0,0.0,0.0
4600.0,0.259263,8.404759752253689E-10,4600.0,53.630434782608695,6.889837006445348,5.452127659574466,4.22092501122585,53.52660381752023,53.62131257467922,53.43222902957416,4600.0,3224.0,0.0,0.0
4700.0,0.262163,8.501209587686589E-10,4700.0,53.59574468085106,6.889929066779257,5.215123859191663,4.509632224168122,53.530433294400645,53.62672737732408,53.43448440987277,4700.0,3224.0,0.0,0.0
